{'name': 'test:dom', 'exitCode': 0, 'seconds': 21.96}
{'name': 'test:hardening:ui', 'exitCode': 0, 'seconds': 37.59}
{'name': 'test:compact:ui', 'exitCode': 0, 'seconds': 17.66}
{'name': 'test:reader:ui', 'exitCode': 0, 'seconds': 42.72}
{'name': 'test:workspaces:ui', 'exitCode': 1, 'seconds': 11.45}
{'name': 'test:finish:ui', 'exitCode': 0, 'seconds': 17.95}
{'name': 'test:simplified:ui', 'exitCode': 0, 'seconds': 15.02}
{'name': 'test:reading:ui', 'exitCode': 0, 'seconds': 14.82}
{'name': 'test:polish:ui', 'exitCode': 0, 'seconds': 14.28}
{'name': 'test:references:ui', 'exitCode': 0, 'seconds': 19.75}
{'name': 'test:cheatsheets:ui', 'exitCode': 0, 'seconds': 37.0}
{'name': 'test:content-hub:ui', 'exitCode': 0, 'seconds': 35.73}
