{'name': 'test:pdf:component', 'command': 'npm run test:pdf:component', 'exitCode': 0, 'seconds': 24.98, 'status': 'PASS'}
{'name': 'test:pdf:grid', 'command': 'npm run test:pdf:grid', 'exitCode': 0, 'seconds': 23.83, 'status': 'PASS'}
{'name': 'test:pdf:wheel', 'command': 'npm run test:pdf:wheel', 'exitCode': 0, 'seconds': 78.38, 'status': 'PASS'}
{'name': 'test:workspaces:ui', 'command': 'npm run test:workspaces:ui', 'exitCode': 0, 'seconds': 11.76, 'status': 'PASS'}
{'name': 'test:backup:diagnostic', 'command': 'npm run test:backup:diagnostic', 'exitCode': 0, 'seconds': 6.97, 'status': 'PASS'}
{'name': 'test:pdf:authoring', 'command': 'npm run test:pdf:authoring', 'exitCode': 0, 'seconds': 17.33, 'status': 'PASS'}
{'name': 'pdf:library:validate', 'command': 'npm run pdf:library:validate', 'exitCode': 0, 'seconds': 0.79, 'status': 'PASS'}
{'name': 'pdf:library:build', 'command': 'npm run pdf:library:build', 'exitCode': 0, 'seconds': 0.77, 'status': 'PASS'}
{'name': 'test:finish:integrated', 'command': 'npm run test:finish:integrated', 'exitCode': 2, 'seconds': 1.63, 'status': 'BLOCKED'}
{'name': 'test:workspaces:runtime', 'command': 'npm run test:workspaces:runtime', 'exitCode': 2, 'seconds': 1.53, 'status': 'BLOCKED'}
{'name': 'test:savedstates:runtime', 'command': 'npm run test:savedstates:runtime', 'exitCode': 2, 'seconds': 1.58, 'status': 'BLOCKED'}
{'name': 'test:reading:runtime', 'command': 'npm run test:reading:runtime', 'exitCode': 2, 'seconds': 1.58, 'status': 'BLOCKED'}
{'name': 'test:cheatsheets:runtime', 'command': 'npm run test:cheatsheets:runtime', 'exitCode': 2, 'seconds': 1.53, 'status': 'BLOCKED'}
{'name': 'test:content-hub:runtime', 'command': 'npm run test:content-hub:runtime', 'exitCode': 2, 'seconds': 1.7, 'status': 'BLOCKED'}
{'name': 'test:references:runtime', 'command': 'npm run test:references:runtime', 'exitCode': 2, 'seconds': 1.58, 'status': 'BLOCKED'}
{'name': 'test:runtime', 'command': 'npm run test:runtime', 'exitCode': 2, 'seconds': 1.82, 'status': 'BLOCKED'}
{'name': 'test:pdf', 'command': 'npm run test:pdf', 'exitCode': 2, 'seconds': 1.73, 'status': 'BLOCKED'}
{'name': 'test:headers', 'command': 'npm run test:headers', 'exitCode': 0, 'seconds': 0.97, 'status': 'PASS'}
{'name': 'test:cheatsheets', 'command': 'npm run test:cheatsheets', 'exitCode': 0, 'seconds': 0.21, 'status': 'PASS'}
{'name': 'test:references', 'command': 'npm run test:references', 'exitCode': 0, 'seconds': 0.82, 'status': 'PASS'}
{'name': 'test:interviews', 'command': 'npm run test:interviews', 'exitCode': 0, 'seconds': 0.22, 'status': 'PASS'}
{'name': 'typecheck', 'command': 'npm run typecheck', 'exitCode': 0, 'seconds': 6.46, 'status': 'PASS'}
{'name': 'typecheck:online', 'command': 'npm run typecheck:online', 'exitCode': 0, 'seconds': 6.94, 'status': 'PASS'}
{'name': 'check:release', 'command': 'npm run check:release', 'exitCode': 0, 'seconds': 0.37, 'status': 'PASS'}
{'name': 'check:release:offline', 'command': 'npm run check:release:offline', 'exitCode': 0, 'seconds': 0.32, 'status': 'PASS'}
{'name': 'check:integrated-deps', 'command': 'npm run check:integrated-deps', 'exitCode': 0, 'seconds': 0.17, 'status': 'PASS'}
{'name': 'test:online:syntax', 'command': 'npm run test:online:syntax', 'exitCode': 0, 'seconds': 0.62, 'status': 'PASS'}
{'name': 'audit:local', 'command': 'npm run audit:local', 'exitCode': 0, 'seconds': 0.22, 'status': 'PASS'}
